CHARITABLE DONATIONS,CHARITABLE DONATIONS,NONPROFIT,
CHARITABLE ORGANIZATIONS,CHARITABLE ORGANIZATIONS,NONPROFIT,
CHILD CARE,CHILD CARE,CHILDREN,
CHILD ABUSE,CHILDREN,LAW AND JUSTICE,
CHILD CUSTODY,CHILDREN,FAMILY,
CHILD SUPPORT,CHILDREN,FAMILY,
"CHILDHOOD DEAFNESS AND HEARING LOSS, CENTER FOR",CHILDREN,DISABILITIES,
"CHILDHOOD DEAFNESS AND HEARING LOSS, STATE CENTER",CHILDREN,DISABILITIES,
CHILDREN,CHILDREN,,
"CHILDREN AND FAMILIES, COUNCIL",CHILDREN,FAMILY,
"CHILDREN AND FAMILY SERVICES, DEPARTMENT",CHILDREN,FAMILY,SOCIAL WELFARE
"CHILDREN, YOUTH, AND FAMILIES, DEPARTMENT",CHILDREN,FAMILY,SOCIAL WELFARE
"CHILDREN'S SERVICES, DEPARTMENT",CHILDREN,SOCIAL WELFARE,
CHINA,CHINA, ,
DAY CARE,CHILDREN,DAY CARE,
"FAMILY AND CHILDREN'S OMBUDS, OFFICE",CHILDREN,FAMILY,
"FAMILY AND CHILDREN'S OMBUDSMAN, OFFICE",CHILDREN,FAMILY,
FOSTER CARE,CHILDREN,FAMILY,
HEAD START,CHILDREN,EDUCATION,
YOUTH COURTS,CHILDREN,LAW AND JUSTICE,
YOUTHBUILD PROGRAM,CHILDREN,SOCIAL WELFARE,
CHIROPRACTIC ASSISTANTS,CHIROPRACTORS,,
CHIROPRACTIC DISCIPLINARY BOARD,CHIROPRACTORS,,
CHIROPRACTORS,CHIROPRACTORS,,
CHORE SERVICES,CHORE SERVICES,,
CHURCHES,RELIGION,,
CIRCUSES AND CARNIVALS,CIRCUSES AND CARNIVALS,,
CITIES AND TOWNS,CITIES AND TOWNS,,
"CITIES, WASHINGTON ASSOCIATION OF",CITIES AND TOWNS,,
CITIZENS COMMISSION ON SALARIES,CITIZEN COMMISSION ON SALARIES,,
CITIZENS' COMMISSION ON SALARIES,CITIZEN COMMISSION ON SALARIES,,
CITIZENS' COMMISSION ON SALARIES FOR ELECTED OFFICIALS,CITIZEN COMMISSION ON SALARIES,,
CITIZEN COUNCILORS,CITIZEN COUNCILORS,,
ALIENS,CITIZENSHIP,,
CITIZENSHIP,CITIZENSHIP,,
NONRESIDENTS,CITIZENSHIP,,
COLVILLE,CITY AND TOWN,,
ENUMCLAW,CITY AND TOWN,,
GRAYS HARBOR,CITY AND TOWN,,
HANFORD,CITY AND TOWN,,
OLYMPIA,CITY AND TOWN,,
PASCO,CITY AND TOWN,,
PORT ANGELES,CITY AND TOWN,,
SEATTLE,CITY AND TOWN,,
SPOKANE,CITY AND TOWN,,
TACOMA,CITY AND TOWN,,
TOWNSHIPS,CITY AND TOWN,,
TRI-CITIES,CITY AND TOWN,,
TUKWILA,CITY AND TOWN,,
VANCOUVER,CITY AND TOWN,,
WENATCHEE,CITY AND TOWN,,
YAKIMA,CITY AND TOWN,,
YELM,CITY AND TOWN,,
AFFIRMATIVE ACTION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
"AFRICAN-AMERICAN AFFAIRS, COMMISSION","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
AFRICAN-AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
ASIAN AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
"ASIAN PACIFIC AMERICAN AFFAIRS, COMMISSION","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
"ASIAN PACIFIC AMERICAN AFFAIRS, STATE COMMISSION","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
ASIAN PACIFIC AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
CENSORSHIP,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
CIVIL RIGHTS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
CULTURAL DIVERSITY,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
"DISABILITIES, INDIVIDUALS WITH","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",DISABILITIES,
"DISABILITIES, PERSONS WITH","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",DISABILITIES,
DISABLED PERSONS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",DISABILITIES,
DISCRIMINATION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
FREEDOM OF EXPRESSION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
GENDER IDENTITY,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
"HISPANIC AFFAIRS, COMMISSION","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
HISPANIC AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
HISPANIC-AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
HISPANICS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
HOMOSEXUALS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
HUMAN RIGHTS COMMISSION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
KOREAN-AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
LATINO-AMERICANS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
MINORITIES,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
MINORITY AND JUSTICE COMMISSION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
MINORITY AND WOMEN'S BUSINESS ENTERPRISES,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
"MINORITY AND WOMEN'S BUSINESS ENTERPRISES, OFFICE","CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
PERSONALITY RIGHTS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
PRIVACY,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
REPRODUCTIVE PRIVACY,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",HEALTH,
SEX DISCRIMINATION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
SEXUAL ORIENTATION,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
SEXUAL ORIENTATION AND GENDER IDENTITY,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
VICTIMS OF CRIMES,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",LAW AND JUSTICE,
VULNERABLE ADULTS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",SOCIAL WELFARE,
WHISTLEBLOWERS,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
WOMEN,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",,
WOMEN AND MINORITY BUSINESSES,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES","ECONOMY, DEVELOPMENT AND INTERNATIONAL",
CIVIL SERVICE,CIVIL SERVICE,,
CLINICAL LABORATORIES,CLINICAL LABORATORIES,,
CLINICAL LABORATORY SCIENCE,CLINICAL LABORATORIES,,
CLINICAL LABORATORY SCIENCE PRACTITIONERS,CLINICAL LABORATORIES,,
CLONING,CLONING,,
CLOTHING,CLOTHING,,
CODE REVISER,CODE REVISER,,
BILLS OF EXCHANGE,BUSINESS,,
TAXES - SALES,TAXES,BUSINESS,
COMMISSION MERCHANTS,COMMISSION MERCHANTS,,
COMMON CARRIERS,COMMON CARRIERS,,
COMMUNITY COUNCILS,COMMUNITY COUNCILS,,
COMMUNITY FACILITIES DISTRICTS,COMMUNITY FACILITIES DISTRICTS,,
COMMUNITY NETWORKS,COMMUNITY NETWORKS,,
COMMUNITY PROPERTY,COMMUNITY PROPERTY,,
COMMUNITY RESIDENTIAL FACILITIES,COMMUNITY RESIDENTIAL FACILITIES,,
COMMUNITY SERVICE,COMMUNITY SERVICE,,
CONGRESS,CONGRESS,,
CONTACT LENSES,CONTACT LENSES,,
CONTESTS,CONTESTS,,
CONTRACTORS,CONTRACTORS,,
CONTRACTS,CONTRACTS,,
CONVENTION AND TRADE CENTERS,CONVENTION AND TRADE CENTERS,,
CONVEYANCES,CONVEYANCES,,
COOPERATIVE ASSOCIATIONS,COOPERATIVE ASSOCIATIONS,,
COSMETICS,COSMETICS,,
COSMETOLOGY,COSMETICS,,
COUNSELORS AND COUNSELING,COUNSELORS AND COUNSELING,,
ADAMS COUNTY,COUNTY, ,
BENTON COUNTY,COUNTY,,
CHELAN COUNTY,COUNTY,,
CLALLAM COUNTY,COUNTY,,
CLARK COUNTY,COUNTY,,
COUNTIES,COUNTY,,
COUNTY ASSESSORS,COUNTY,,
COUNTY AUDITORS,COUNTY,AUDITS AND ACCOUNTABILITY,
COUNTY CLERKS,COUNTY,,
COUNTY COMMISSIONERS,COUNTY,,
COUNTY CORONERS,COUNTY,,
COUNTY HOSPITALS,COUNTY,HEALTH,
COUNTY LEGISLATIVE AUTHORITY,GOVERNMENT OPERATIONS AND POLITICS,COUNTY,
COUNTY ROAD ADMINISTRATION BOARD,COUNTY,TRANSPORTATION,
COUNTY TREASURERS,COUNTY,,
COWLITZ COUNTY,COUNTY,,
DOUGLAS COUNTY,COUNTY,,
FERRY COUNTY,COUNTY,,
GRANT COUNTY,COUNTY,,
GRAYS HARBOR COUNTY,COUNTY,,
ISLAND COUNTY,COUNTY,,
JEFFERSON COUNTY,COUNTY,,
KING COUNTY,COUNTY,,
KITSAP COUNTY,COUNTY,,
LEWIS COUNTY,COUNTY,,
MASON COUNTY,COUNTY,,
OKANOGAN COUNTY,COUNTY,,
PACIFIC COUNTY,COUNTY,,
PEND OREILLE COUNTY,COUNTY,,
PIERCE COUNTY,COUNTY,,
SAN JUAN COUNTY,COUNTY,,
SKAGIT COUNTY,COUNTY,,
SNOHOMISH COUNTY,COUNTY,,
SPOKANE COUNTY,COUNTY,,
STEVENS COUNTY,COUNTY,,
THURSTON COUNTY,COUNTY,,
WAHKIAKUM COUNTY,COUNTY,,
WALLA WALLA COUNTY,COUNTY,,
WHATCOM COUNTY,COUNTY,,
WHITMAN COUNTY,COUNTY,,
YAKIMA COUNTY,COUNTY,,
CRANE AND HOIST OPERATORS,CRANE AND HOIST OPERATORS,,
CURFEW,CURFEW,,
CURRENCY,CURRENCY,,
DAMAGES,DAMAGES,,
DAMS,DAMS,,
DEATH,DEATH,,
DEATH INVESTIGATIONS COUNCIL,DEATH,,
DEATH WITH DIGNITY ACT,DEATH WITH DIGNITY ACT,DEATH,
DEDICATIONS,DEDICATIONS,,
DENTAL HYGIENISTS,DENTAL HYGIENISTS,,
DENTAL LABORATORIES AND TECHNICIANS,DENTAL LABORATORIES AND TECHNICIANS,,
DENTISTS AND DENTISTRY,DENTISTS AND DENTISTRY,,
DENTURISTS,DENTURISTS,,
DEPENDENT ADULTS,DEPENDENT ADULTS,,
DETERGENTS,DETERGENTS,,
DIAPERS,DIAPERS,,
DIETITIANS AND NUTRITIONISTS,DIETITIANS AND NUTRITIONISTS,,
DIGITAL SIGNATURES,DIGITAL SIGNATURES,,
DIKES AND LEVEES,DIKES,,
DIKING AND DRAINAGE,DIKES,,
DIKING DISTRICTS,DIKES,,
BLIND,DISABILITIES,,
"BLIND, DEPARTMENT OF SERVICES FOR THE",DISABILITIES,SOCIAL WELFARE,
"BLIND, STATE SCHOOL",DISABILITIES,EDUCATION,
"BLIND, STATE SCHOOL FOR THE",DISABILITIES,EDUCATION,
DEAF,DISABILITIES,,
DEAF PERSONS,DISABILITIES,,
"DEAF, STATE SCHOOL",DISABILITIES,EDUCATION,
DEVELOPMENTAL DISABILITIES,DISABILITIES,,
"DEVELOPMENTAL DISABILITIES OMBUDS, OFFICE OF",DISABILITIES,SOCIAL WELFARE,
"DEVELOPMENTAL DISABILITIES, INDIVIDUALS WITH",DISABILITIES,,
"DEVELOPMENTAL DISABILITIES, PERSONS WITH",DISABILITIES,,
DEVELOPMENTALLY DISABLED,DISABILITIES,,
HANDICAPPED PERSONS,DISABILITIES,,
MENTALLY IMPAIRED PERSONS,DISABILITIES,,
MENTALLY RETARDED PERSONS,DISABILITIES,,
SPEECH IMPAIRED PERSONS,DISABILITIES,,
STATE SCHOOL FOR THE BLIND,DISABILITIES,EDUCATION,
PUBLIC DISCLOSURE,DISCLOSURE,,
PUBLIC DISCLOSURE COMMISSION,DISCLOSURE,,
DISLOCATED WORKERS,DISLOCATED WORKERS,LABOR AND EMPLOYMENT,
DISPUTE RESOLUTION CENTERS,DISPUTE RESOLUTION CENTERS,,
DISSOLUTION OF MARRIAGE,DISSOLUTION OF MARRIAGE,FAMILY,
DISTRESSED AREAS,DISTRESSED AREAS,ENVIRONMENT,
DNA (DEOXYRIBONUCLEIC ACID),DNA,,
DOCKS,DOCKS,,
DOGS,DOGS,,
DOMESTIC PARTNERS,DOMESTIC PARTNERS,FAMILY,
"DOMESTIC PARTNERSHIPS, REGISTERED",DOMESTIC PARTNERS,FAMILY,
DOMESTIC RELATIONS,DOMESTIC RELATIONS,,
DRAINAGE,DRAINAGE,,
DRAINAGE DISTRICTS,DRAINAGE,,
DROUGHT,DROUGHT,,
ALCOHOL AND DRUG ABUSE,DRUGS AND ALCOHOL,SOCIAL WELFARE,
ALCOHOLIC BEVERAGES,DRUGS AND ALCOHOL,AGRICULTURE AND FOOD,
D.A.R.E. PROGRAM,DRUGS AND ALCOHOL,SOCIAL WELFARE,
DRUGS,DRUGS AND ALCOHOL,,
INTOXICATION,DRUGS AND ALCOHOL,,
LIQUOR AND CANNABIS BOARD,DRUGS AND ALCOHOL,,
LIQUOR CONTROL BOARD,DRUGS AND ALCOHOL,,
MARIJUANA,DRUGS AND ALCOHOL,,
DRY CLEANING SERVICES,DRY CLEANING SERVICES,,
EASEMENTS,EASEMENTS,,
"TRADE AND ECONOMIC DEVELOPMENT, DEPARTMENT","ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
"TRADE POLICY, JOINT LEGISLATIVE OVERSIGHT COMMITTEE","ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
"TRADE REPRESENTATIVE, OFFICE","ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
"COMMUNITY DEVELOPMENT, DEPARTMENT","ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
COMMUNITY ECONOMIC REVITALIZATION BOARD,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
"COMMUNITY, TRADE, AND ECONOMIC DEVELOPMENT, DEPARTMENT","ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
DEVELOPMENT LOAN FUND COMMITTEE,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ECONOMIC AND REVENUE FORECAST COUNCIL,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ECONOMIC DEVELOPMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ECONOMIC DEVELOPMENT COMMISSION,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ECONOMIC DEVELOPMENT FINANCE AUTHORITY,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ECONOMIC FORECASTS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ECONOMIC RECOVERY COORDINATION BOARD,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
EXPORT TRADE,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
FREIGHT MOBILITY STRATEGIC INVESTMENT BOARD,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",TRANSPORTATION,
GROWTH MANAGEMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
GROWTH PLANNING,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
HYDROELECTRIC DEVELOPMENTS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",ENERGY,
INDUSTRIAL DEVELOPMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
INTERNATIONAL MATCHMAKING ORGANIZATIONS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
INTERNATIONAL RELATIONS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
INTERNATIONAL TRADE,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
INTERNATIONAL UNDERSTANDING,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
LAND DEVELOPMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
LAND USE PLANNING,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
LAND USE PLANNING AND DEVELOPMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
LAND USE-TRANSPORTATION BENEFIT DISTRICTS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",TRANSPORTATION,
LEGISLATIVE COMMITTEE ON ECONOMIC DEVELOPMENT AND INTERNATIONAL RELATIONS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",GOVERNMENT OPERATIONS AND POLICY, 
PACIFIC NORTHWEST ECONOMIC REGION,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
PLANNING COMMISSIONS,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
RESEARCH AND DEVELOPMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
RURAL DEVELOPMENT,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
SMALL BUSINESS EXPORT FINANCE ASSISTANCE CENTER,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
SMALL BUSINESS EXPORT FINANCIAL ASSISTANCE CENTER,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
TAXES - LUMBER AND BUILDING MATERIALS TAX,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",TAXES,
TOURISM,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",RECREATION AND SPORTS,
TOURISM COMMISSION,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",RECREATION AND SPORTS,
UNIFORM COMMERCIAL CODE,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
ZONING,"ECONOMY, DEVELOPMENT AND INTERNATIONAL",,
DISTANCE EDUCATION,EDUCATION,,
"EARLY LEARNING, DEPARTMENT",EDUCATION,,
"EDUCATION OMBUDS, OFFICE",EDUCATION,,
"EDUCATION OMBUDSMAN, OFFICE OF THE",EDUCATION,,
"EDUCATION, BOARD",EDUCATION,,
"EDUCATION, DEPARTMENT",EDUCATION,,
"EDUCATION, STATE BOARD",EDUCATION,,
EDUCATIONAL OPPORTUNITY GAP OVERSIGHT AND ACCOUNTABILITY COMMITTEE,EDUCATION,,
EDUCATIONAL SERVICE DISTRICTS,EDUCATION,,
EXCHANGE STUDENT PLACEMENT AGENCIES,EDUCATION,,
FIRCREST SCHOOL,EDUCATION,,
"KINDERGARTENS, NURSERY SCHOOLS, AND PRESCHOOLS",EDUCATION,,
LITERACY,EDUCATION,,
"ONLINE LEARNING, OFFICE",EDUCATION,,
PROFESSIONAL EDUCATOR STANDARDS BOARD,EDUCATION,,
"PUBLIC INSTRUCTION, SUPERINTENDENT",EDUCATION,,
QUALITY EDUCATION COUNCIL,EDUCATION,,
"SCHOOL DIRECTORS' ASSOCIATION, WASHINGTON STATE",EDUCATION,,
SCHOOLS AND SCHOOL DISTRICTS,EDUCATION,,
STUDENT ACHIEVEMENT COUNCIL,EDUCATION,,
"STUDENT LEARNING, COMMISSION",EDUCATION,,
"SUPERINTENDENT OF PUBLIC INSTRUCTION, OFFICE (OSPI)",EDUCATION,,
TEACHERS,EDUCATION,PUBLIC EMPLOYEES,
TEACHERS' RETIREMENT SYSTEM,EDUCATION,PUBLIC EMPLOYEES,
RAINIER STATE SCHOOL,EDUCATION ,,
CAMPAIGNS,ELECTIONS,,
ELECTIONS,ELECTIONS,,
REDISTRICTING,ELECTIONS,,
REDISTRICTING COMMISSION,ELECTIONS,,
VOTING,ELECTIONS,,
ELECTRICIANS,ELECTRICIANS,,
ELECTRICITY,ELECTRICITY,,
ELEVATORS,ELEVATORS,,
911,EMERGENCY MANAGEMENT AND SERVICES,,
